"GISJOIN","year","state","population"
"G090",1790,"CT",237655
"G100",1790,"DE",59096
"G130",1790,"GA",82548
"G240",1790,"MD",319728
"G250",1790,"MA",475199
"G330",1790,"NH",141899
"G340",1790,"NJ",184139
"G360",1790,"NY",340241
"G370",1790,"NC",395005
"G420",1790,"PA",433611
"G440",1790,"RI",69112
"G450",1790,"SC",249073
"G465",1790,"DC",35691
"G500",1790,"VT",85341
"G510",1790,"VA",821287
"G090",1800,"CT",251002
"G100",1800,"DE",64273
"G110",1800,"DC",14093
"G130",1800,"GA",162686
"G185",1800,"DC",5641
"G210",1800,"KY",220955
"G240",1800,"MD",341548
"G250",1800,"MA",574564
"G285",1800,"DC",8850
"G330",1800,"NH",183858
"G340",1800,"NJ",211149
"G360",1800,"NY",589051
"G370",1800,"NC",478103
"G385",1800,"DC",45365
"G420",1800,"PA",602365
"G440",1800,"RI",69122
"G450",1800,"SC",345591
"G470",1800,"TN",105602
"G500",1800,"VT",154465
"G510",1800,"VA",880200
"G090",1810,"CT",261942
"G100",1810,"DE",72674
"G110",1810,"DC",24023
"G130",1810,"GA",252433
"G175",1810,"DC",12282
"G185",1810,"DC",24520
"G210",1810,"KY",406511
"G225",1810,"DC",20845
"G240",1810,"MD",380546
"G250",1810,"MA",700745
"G265",1810,"DC",4762
"G285",1810,"DC",40352
"G330",1810,"NH",214460
"G340",1810,"NJ",245562
"G360",1810,"NY",959049
"G370",1810,"NC",555500
"G390",1810,"OH",230760
"G417",1810,"DC",76556
"G420",1810,"PA",810091
"G440",1810,"RI",76931
"G450",1810,"SC",415115
"G470",1810,"TN",261727
"G500",1810,"VT",217895
"G510",1810,"VA",974600
"G010",1820,"AL",127901
"G055",1820,"DC",14273
"G090",1820,"CT",275248
"G100",1820,"DE",72749
"G110",1820,"DC",33039
"G130",1820,"GA",340989
"G170",1820,"IL",55211
"G180",1820,"IN",147178
"G210",1820,"KY",564317
"G220",1820,"LA",153407
"G230",1820,"ME",298335
"G240",1820,"MD",407350
"G250",1820,"MA",523287
"G265",1820,"DC",8896
"G280",1820,"MS",75448
"G295",1820,"DC",66586
"G330",1820,"NH",244161
"G340",1820,"NJ",277575
"G360",1820,"NY",1372812
"G370",1820,"NC",638829
"G390",1820,"OH",581434
"G420",1820,"PA",1049458
"G440",1820,"RI",83059
"G450",1820,"SC",502741
"G470",1820,"TN",422813
"G500",1820,"VT",235764
"G510",1820,"VA",1065379
"G010",1830,"AL",309527
"G055",1830,"DC",30388
"G090",1830,"CT",297675
"G100",1830,"DE",76748
"G110",1830,"DC",39834
"G125",1830,"DC",34730
"G130",1830,"GA",516823
"G170",1830,"IL",157445
"G180",1830,"IN",343031
"G210",1830,"KY",687917
"G220",1830,"LA",215739
"G230",1830,"ME",399455
"G240",1830,"MD",447040
"G250",1830,"MA",610408
"G265",1830,"DC",31639
"G280",1830,"MS",136621
"G290",1830,"MO",140455
"G330",1830,"NH",269328
"G340",1830,"NJ",320823
"G360",1830,"NY",1918608
"G370",1830,"NC",737987
"G390",1830,"OH",937903
"G420",1830,"PA",1348233
"G440",1830,"RI",97199
"G450",1830,"SC",581185
"G470",1830,"TN",681904
"G500",1830,"VT",280652
"G510",1830,"VA",1211405
"G010",1840,"AL",590756
"G050",1840,"AR",97574
"G090",1840,"CT",309978
"G100",1840,"DE",78085
"G110",1840,"DC",43712
"G125",1840,"DC",54477
"G130",1840,"GA",691392
"G170",1840,"IL",476183
"G180",1840,"IN",685866
"G195",1840,"DC",43112
"G210",1840,"KY",779828
"G220",1840,"LA",352411
"G230",1840,"ME",501793
"G240",1840,"MD",470019
"G250",1840,"MA",737699
"G260",1840,"MI",212267
"G280",1840,"MS",375651
"G290",1840,"MO",383702
"G330",1840,"NH",284574
"G340",1840,"NJ",373306
"G360",1840,"NY",2428921
"G370",1840,"NC",753419
"G390",1840,"OH",1519467
"G420",1840,"PA",1724033
"G440",1840,"RI",108830
"G450",1840,"SC",594398
"G470",1840,"TN",829210
"G500",1840,"VT",291948
"G510",1840,"VA",1239797
"G555",1840,"DC",30945
"G010",1850,"AL",771623
"G050",1850,"AR",209897
"G060",1850,"CA",92597
"G090",1850,"CT",370792
"G100",1850,"DE",91532
"G110",1850,"DC",51687
"G120",1850,"FL",87445
"G130",1850,"GA",906185
"G170",1850,"IL",851470
"G180",1850,"IN",988416
"G190",1850,"IA",192214
"G210",1850,"KY",982405
"G220",1850,"LA",517762
"G230",1850,"ME",583169
"G240",1850,"MD",583034
"G250",1850,"MA",994514
"G260",1850,"MI",397654
"G275",1850,"DC",6077
"G280",1850,"MS",606526
"G290",1850,"MO",682044
"G330",1850,"NH",317976
"G340",1850,"NJ",489555
"G355",1850,"DC",61547
"G360",1850,"NY",3097394
"G370",1850,"NC",869039
"G390",1850,"OH",1980329
"G413",1850,"DC",13294
"G420",1850,"PA",2311786
